t,v,e13,T
91,0.47111,1.6451099999999999,32.247358490566015
92,0.48359,1.65759,32.48283018867922
93,0.54136,1.71536,33.57283018867923
94,0.53596,1.70996,33.470943396226396
95,0.53941,1.7134099999999999,33.536037735849035
96,0.46397,1.63797,32.11264150943394
97,0.53423,1.70823,33.43830188679243
98,0.52149,1.69549,33.19792452830187
99,0.56737,1.7413699999999999,34.063584905660356
100,0.50935,1.68335,32.96886792452828
101,0.55004,1.72404,33.73660377358489
102,0.57226,1.74626,34.155849056603756
103,0.54374,1.71774,33.61773584905659
104,0.54176,1.71576,33.58037735849055
105,0.55796,1.73196,33.88603773584904
106,0.59933,1.77333,34.66660377358489
107,0.60657,1.78057,34.8032075471698
108,0.51373,1.68773,33.051509433962245
109,0.59344,1.76744,34.55547169811319
110,0.56646,1.74046,34.04641509433961
111,0.57295,1.74695,34.168867924528286
112,0.55738,1.73138,33.87509433962262
113,0.62965,1.80365,35.238679245283
114,0.65092,1.82492,35.639999999999986
115,0.67457,1.84857,36.08622641509433
116,0.58545,1.75945,34.404716981132054
117,0.59484,1.76884,34.58188679245281
118,0.62663,1.80063,35.18169811320753
119,0.66749,1.8414899999999998,35.952641509433946
120,0.61162,1.78562,34.89849056603772
121,0.65948,1.8334799999999998,35.801509433962245
122,0.64042,1.81442,35.44188679245281
123,0.68844,1.8624399999999999,36.347924528301874
124,0.70327,1.8772699999999998,36.627735849056585
125,0.73726,1.91126,37.26905660377357
126,0.72061,1.89461,36.95490566037734
127,0.63384,1.80784,35.31773584905659
128,0.73563,1.90963,37.23830188679244
129,0.71976,1.8937599999999999,36.93886792452829
130,0.74025,1.91425,37.3254716981132
131,0.75063,1.92463,37.52132075471697
132,0.69129,1.86529,36.40169811320753
133,0.78277,1.95677,38.12773584905659
134,0.79114,1.9651399999999999,38.285660377358475
135,0.80369,1.97769,38.52245283018867
136,0.69987,1.87387,36.56358490566036
137,0.73083,1.90483,37.14773584905659
138,0.83226,2.00626,39.06150943396226
139,0.74377,1.91777,37.391886792452816
140,0.84232,2.01632,39.25132075471697
141,0.80054,1.97454,38.46301886792452
142,0.74901,1.9230099999999999,37.490754716981115
143,0.84889,2.02289,39.37528301886791
144,0.83759,2.01159,39.1620754716981
145,0.85623,2.03023,39.51377358490565
146,0.8043,1.9783,38.53396226415093
147,0.79314,1.9671399999999999,38.323396226415085
148,0.8999,2.0739,40.3377358490566
149,0.90834,2.08234,40.49698113207546
150,0.8002,1.9742,38.456603773584895
151,0.83975,2.01375,39.202830188679236
152,0.89189,2.06589,40.1866037735849
153,0.92237,2.09637,40.76169811320754
154,0.90577,2.07977,40.44849056603773
155,0.90927,2.0832699999999997,40.51452830188678
156,0.91738,2.09138,40.667547169811314
157,0.96114,2.13514,41.4932075471698
158,0.95724,2.13124,41.41962264150943
159,1.0282,2.2022,42.75849056603773
